Codigo foto	Carpeta/Subcarpeta	Camara usada	Fecha	Familia	Genero	Especie	Nombre cientifico	Código/ ID del individuo*	Descripcion o Ubicacion	Quebrada-transecto	Colectores	Metodo de captura	file_name	class_1	conf_1	class_2	conf_2	class_3	conf_3	class_4	conf_4	class_5	conf_5
DSC_1181-DSC_1182	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-43	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1181.JPG	Hyphessobrycon	55.52003979682922	Phenacogaster	19.93757337331772	Pyrrhulina	10.685939341783524	Corydoras	7.45832622051239	Erythrinus	2.326749823987484
DSC_1181-DSC_1182	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Loricariidae	Otocinclus	hoppei	Otocinclus hoppei	P1-CV2QKATI-43	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1182.JPG	Hyphessobrycon	22.270239889621735	Pimelodella	15.912634134292604	Pyrrhulina	14.983302354812622	Astyanax	10.949571430683136	Corydoras	8.522655069828032
DSC_1183-DSC_1184	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Callichthyidae	Corydoras	atropersonatus	Corydoras atropersonatus	P1-CV2QKATI-44	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1183.JPG	Corydoras	88.38861584663391	Bujurquina	10.197892040014269	Gasteropelecus	0.34175782930105925	Astyanax	0.3110885852947831	Bario	0.23713046684861186
DSC_1183-DSC_1184	Morona 3ra entrada 2019,nov	Nikon D 3500	Sat Nov 30 00:00:00 EST 2019	Callichthyidae	Corydoras	atropersonatus	Corydoras atropersonatus	P1-CV2QKATI-44	Katira	PM-01	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1184.JPG	Corydoras	95.44515609741212	Bujurquina	2.052481472492218	Moenkhausia	0.9235615842044352	Astyanax	0.5673033650964499	Phenacogaster	0.5225849337875843
DSC_1197-DSC_1198	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Cichlidae	Bujurquina	huallagae	Bujurquina huallagae	P2-CV2QKATI-01	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1197.JPG	Corydoras	38.40513825416565	Bujurquina	37.263283133506775	Apistogramma	14.307154715061188	Moenkhausia	2.3658508434891696	Phenacogaster	2.350782044231892
DSC_1197-DSC_1198	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Cichlidae	Bujurquina	huallagae	Bujurquina huallagae	P2-CV2QKATI-01	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1198.JPG	Hemigrammus	87.3941957950592	Pyrrhulina	6.199058890342712	Bujurquina	1.9899334758520129	Corydoras	1.3942090794444084	Phenacogaster	1.129633653908968
DSC_1199-DSC_1200	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Heptapteridae	Pimelodella	sp. 2	Pimelodella sp. 2	P2-CV2QKATI-02	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1199.JPG	Pimelodella	76.1694610118866	Sorubim	20.165467262268066	Erythrinus	2.8073081746697426	Tatia	0.2130064181983471	Gymnotus	0.11959807015955448
DSC_1199-DSC_1200	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Heptapteridae	Pimelodella	sp. 2	Pimelodella sp. 2	P2-CV2QKATI-02	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1200.JPG	Pimelodella	71.82461023330687	Sorubim	16.758248209953305	Hyphessobrycon	2.8535613790154457	Phenacogaster	2.783552370965481	Erythrinus	2.568087726831436
DSC_1201-DSC_1202	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Heptapteridae	Pimelodella	sp. 2	Pimelodella sp. 2	P2-CV2QKATI-03	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1201.JPG	Pimelodella	79.8048734664917	Sorubim	10.17780900001526	Hyphessobrycon	2.4495329707860947	Astyanax	1.666220650076866	Erythrinus	1.5653451904654505
DSC_1201-DSC_1202	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Heptapteridae	Pimelodella	sp. 2	Pimelodella sp. 2	P2-CV2QKATI-03	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1202.JPG	Pimelodella	65.17456769943236	Sorubim	23.556886613368988	Phenacogaster	3.3999815583229065	Astyanax	3.234565258026123	Hyphessobrycon	2.190080098807812
DSC_1203-DSC_1204	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Heptapteridae	Pimelodella	sp. 2	Pimelodella sp. 2	P2-CV2QKATI-04	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1203.JPG	Astyanax	31.567925214767453	Hyphessobrycon	26.035407185554504	Pimelodella	22.70168662071228	Phenacogaster	8.176071941852571	Moenkhausia	4.309495911002158
DSC_1203-DSC_1204	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Heptapteridae	Pimelodella	sp. 2	Pimelodella sp. 2	P2-CV2QKATI-04	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1204.JPG	Hyphessobrycon	26.01838707923889	Phenacogaster	21.56253457069397	Characidium	17.434623837471012	Moenkhausia	11.689268797636032	Tyttocharax	9.867326915264131
DSC_1205-DSC_1206	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Characidae	Knodus	kaquetae	Knodus kaquetae	P2-CV2QKATI-05	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1205.JPG	Pyrrhulina	37.775787711143494	Phenacogaster	25.080150365829468	Astyanax	16.528266668319702	Moenkhausia	12.55618929862976	Hyphessobrycon	3.6524824798107143
DSC_1205-DSC_1206	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Characidae	Knodus	kaquetae	Knodus kaquetae	P2-CV2QKATI-05	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1206.JPG	Pyrrhulina	34.0692937374115	Moenkhausia	29.149904847145077	Phenacogaster	20.57191133499145	Astyanax	11.253991723060608	Hyphessobrycon	1.750551164150238
DSC_1207-DSC_1208	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Characidae	Knodus	kaquetae	Knodus kaquetae	P2-CV2QKATI-06	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1207.JPG	Moenkhausia	53.67040038108826	Phenacogaster	25.64079463481903	Astyanax	14.949049055576324	Hyphessobrycon	1.5916017815470695	Pyrrhulina	1.2864199467003343
DSC_1207-DSC_1208	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Characidae	Knodus	kaquetae	Knodus kaquetae	P2-CV2QKATI-06	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1208.JPG	Phenacogaster	45.217761397361755	Moenkhausia	14.784236252307892	Hemigrammus	13.811828196048735	Tyttocharax	10.603797435760498	Characidium	7.203546166419983
DSC_1209-DSC_1210	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Characidae	Phenacogaster	sp. 1	Phenacogaster sp. 1	P2-CV2QKATI-07	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1209.JPG	Phenacogaster	32.556363940238946	Moenkhausia	24.65133219957352	Astyanax	20.89743316173553	Hyphessobrycon	16.520144045352936	Corydoras	3.218263760209084
DSC_1209-DSC_1210	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Characidae	Phenacogaster	sp. 1	Phenacogaster sp. 1	P2-CV2QKATI-07	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1210.JPG	Phenacogaster	55.75072169303894	Astyanax	32.356423139572144	Moenkhausia	7.522644102573395	Hyphessobrycon	2.0963191986083984	Hemigrammus	0.9736222214996816
DSC_1211-DSC_1212	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Characidae	Knodus	kaquetae	Knodus kaquetae	P2-CV2QKATI-08	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1211.JPG	Tyttocharax	74.96956586837769	Characidium	14.865414798259735	Hyphessobrycon	2.702283300459385	Phenacogaster	2.3592881858348846	Hemigrammus	1.9613780081272123
DSC_1211-DSC_1212	Morona 3ra entrada 2019,nov	Nikon D 3500	Sun Dec 01 00:00:00 EST 2019	Characidae	Knodus	kaquetae	Knodus kaquetae	P2-CV2QKATI-08	Katira	PM-02	Leo, Morgan, Esau, Perciles	Red de arrastre	DSC_1212.JPG	Tyttocharax	86.63153648376465	Phenacogaster	5.626898258924483	Characidium	3.519758954644203	Pyrrhulina	1.354679837822914	Hemigrammus	0.7907276973128319
